,Municipio,Total
0,Hermosillo,31259
1,Cajeme,14825
2,San Luis Rio Colorado,11140
3,Nogales,9274
4,Navojoa,3539
5,Guaymas,3056
6,Agua Prieta,2183
7,Puerto Peñasco,2110
8,Caborca,1796
9,Etchojoa,1053
10,Huatabampo,1041
11,Empalme,905
12,Cananea,448
13,Magdalena,405
14,Bacum,335
15,Benito Juarez,264
16,Imuris,157
17,Santa Ana,144
18,San Ignacio Rio Muerto,89
19,Alamos,75
20,San Miguel de Horcasitas,57
21,Altar,43
22,Benjamin Hill,38
23,Plutarco Elias Calles,35
24,Naco,34
25,Pitiquito,31
26,Yecora,28
27,Nacozari de Garcia,22
28,Ures,18
29,Opodepe,14
30,Carbo,14
31,Fronteras,13
32,Rosario,12
33,Cumpas,7
34,Mazatan,5
35,Sahuaripa,5
36,Trincheras,5
37,Santa Cruz,5
38,Villa Pesqueira,3
39,Moctezuma,3
40,Banamichi,3
41,Bacerac,2
42,Cucurpe,2
43,La Colorada,2
44,Quiriego,2
45,Rayon,1
46,San Javier,1
47,Saric,1
48,Soyopa,1
49,Tubutama,1
50,San Pedro de la Cueva,1
51,Nacori Chico,1
52,Aconchi,1
53,Arizpe,1
54,Bacanora,1
